"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Because of Ezra Inc","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,12943,"",""
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,11335,"General support","Unrestricted general"
"HEART OF WEST MICHIGAN UNITED WAY","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10633,"","Designation"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","General Support"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","Operating support"
"The Shine Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","Unrestricted grant to general fund"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","General support"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","General support"
"Onequest Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,10000,"General support","Unrestricted grant to general fund"
"Amazonsmile Foundation","WA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,8423,"General support",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2016,8000,"Capital and infrastructure","Underwriting the ADL Apartment at the 44TH/Kalamazoo Ave SE Rehab Facility"
"Brown Tassell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,8000,"","Operating"
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,6439,"General support","Unrestricted general"
"Barnabas Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,6000,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2016,5500,"","Neo Natal Care ($3,000) and Renucci House ($2,500)"
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Prenatal care ",2016,5000,"Financial sustainability","Gala 2017: Centering Pregnancy; Enhancing Perinatal Care in Our Community"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"General support","General Support"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"General support",""
"River City Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"General support","General support"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"","Non-profit"
"Mary Free Bed Guild Fund","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"Program support","Program support"
"The Mall Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"",""
"Buist Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"","Community Assistance"
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"","Charitable"
"Hy and Greta Berkowitz Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"Continuing support;General support","Annual support"
"Delta Air Lines Foundation","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"General support","General support"
"Seizert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,5000,"General support","General support"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,5000,"General support","Unrestricted Grant to General Fund"
"James and Catherine Rosenthal Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,5000,"","Heart fund"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Alzheimer's Disease and other forms of dementia ",2016,5000,"Fundraising","General support and gala 2016 support to expand the dementia clinic."
"Natl Christian Charitable Foundation Inc","GA","Helen DeVos Childrens Hospital Foundation - Spectrum Health Founda","Grand Rapids","MI"," ",2016,4350,"","Medical and health"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Gift distribution ",2016,4000,"","To organize holiday celebrations for children hospitalized at devos children&#039;s hospital during the 2016 holiday season."
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,3500,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,3500,"General support",""
"Investment Professionals for Charity Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,3000,"Research","Support medical, educational, research and community initiatives of Beaumont"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"","Contribution"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"General support",""
"James & Almeda Vander Waals Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"","Donation for operations"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"","Contribution"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"General support","General Support"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"","Contribution"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"","To support the general charitable activities of this organization."
"Morgan Stanley Global Impact Funding Trust Inc","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2500,"General support","General support"
"Millerknoll Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2161,"","Support for day to day operations"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,2000,"",""
"Fidelity Investments Charitable Gift Fund","MA","Newaygo County General Hospital Association Spectrum Health Gerber Memorial","Grand Rapids","MI","Hospital care ",2016,2000,"General support",""
"NSF Foundation C/o Sally Jo Trapp","MI","Spectrum Health Foundation","Grand Rapids","MI","Specialty hospital care ",2016,1500,"","Pediatric medical &amp; surgical center"
"EDSEL & ELEANOR FORD HOUSE","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,1500,"Public engagement and education","Support public programming"
"Edp Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1300,"General support","General assistance"
"Borgwarner Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1100,"",""
"Wm O and Margaret H Dewitt Foundation","OH","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,1000,"General support","For general support"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"General support",""
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"","Charitable"
"Essendant Charitable Foundation Attn Tax","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"","Medical - Other"
"Henry A Fox Jr & Kathleen O Brien Fox Charitable Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Education ",2016,1000,"General support","General support for charitable operations"
"Weller Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"General support","General contribution"
"Morley Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"","Health"
"Steve & Amy Van Andel Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,1000,"","Medical"
"Linda Petro Ulrey and Laurence A Ulrey Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,650,"","Charitable Purposes"
"Liberty Mutual Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,618,"","Matching contribution"
"The Dennis and Nancy Gershenson Family Foundaton","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,500,"General support","General"
"Coleman Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,500,"","Launch, expand, and sustain life-changing and lifesaving services"
"The Baum Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,300,"","General contributions"
"Edp Foundation","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2016,300,"General support","General assistance"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,250,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,250,"General support",""
"Kent Medical Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,250,"","Support of organization"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,200,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,200,"General support",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"","Matching gift"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support",""
"Laybel Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2016,100,"","For unrestricted support"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support",""
"The Meer Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Humanities ",2016,100,"","Purpose of the following grants The furtherance of study and knowledge of Jewish history, heritage, and the Torah and its derivative works."
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support",""
"Jpmorgan Chase Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,100,"General support","General operating support"
"Illinois Tool Works Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,75,"General support","Unrestricted"
"C.H. Robinson Worldwide Foundation","SD","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,75,"General support","General operating fund"
"The David and Sheryl Livingston Family Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2016,50,"","MEDICAL RESEARCH"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,50,"General support",""
"American Express Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,50,"",""
"American Express Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,42,"",""
"Jack and Lija Romence Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,40,"","Charitable"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2016,30,"","Matching Gift"
"Second Harvest Gleaners Food Bank of West Michigan, Inc.","MI","Corewell Health","Grand Rapids","MI","Community health care ",2016,NA,"","Fight hunger"
"Second Harvest Gleaners Food Bank of West Michigan, Inc.","MI","Corewell Health","Grand Rapids","MI","Community health care ",2016,NA,"","Fight hunger"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,3275000,"General support","Unrestricted Grant to General Fund"
"Corewell Health Group Return","MI","Corewell Health","Grand Rapids","MI","Community health care ",2015,2342294,"General support","General Support"
"Kent Community Health Foundation","MI","Spectrum Health-Kent Community Campus","Grand Rapids","MI","Protestantism ",2015,1379716,"","Support of SHKCC Mission"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1011180,"General support","Unrestricted Grant to General Fund"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000000,"Program support","Project Support"
"Beat NB Cancer Foundation","MA","Spectrum Health Worth Services","Grand Rapids","MI","Cancers ",2015,800000,"Research and evaluation","FUNDING FOR CLINICAL TRIALS OPENING TO SUPPORT NEUROBLASTOMA CANCER."
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,610000,"General support","Operating Support"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,605000,"General support","Unrestricted Grant to General Fund"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,547000,"General support","Unrestricted Grant to General Fund"
"The Carls Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Rehabilitation ",2015,533000,"","Support for the purchase of a lokomat pto for rehabilitation services for children."
"Corewell Health","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2015,307964,"","Medical care"
"The Cold Heading Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,300000,"",""
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,260000,"General support","Unrestricted Grant to General Fund"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,255000,"General support","Unrestricted Grant to General Fund"
"United States Rural Utilities Service","DC","Corewell Health","Grand Rapids","MI","Community health care ",2015,254884,"","Telemedicine Grant"
"Because of Ezra Inc","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,250800,"",""
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,250000,"General support","Unrestricted Grant to General Fund"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,229641,"","CF CARE CENTER"
"Cystic Fibrosis Foundation Therapeutics Inc","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,156618,"Research;Financial sustainability","Clinical research center"
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2015,82412,"Research;Advocacy","SUPPORT RESEARCH PROGRAM"
"Grand Rapids Sports Hall of Fame","MI","Spectrum Health Foundation","Grand Rapids","MI","Specialty hospital care ",2015,80000,"","Support for the cancer program at the helen devos children&#039;s hospital."
"Jandernoa Foundation C/o Michael Jandernoa","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2015,75000,"Research","Cancer research sponsor"
"HEART OF WEST MICHIGAN UNITED WAY","MI","Corewell Health","Grand Rapids","MI","Community health care ",2015,70544,"","Designation"
"Pnc Foundation","PA","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,70500,"Program support","Spectrum Health Community Medicine Clinic- Healthy Families Program"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,68000,"Program support","Childrens care, CNS sub, other"
"National Breast Cancer Foundation, Inc.","TX","Spectrum Health Foundation","Grand Rapids","MI","Breast cancer ",2015,60000,"Program support","National Mammography Program Grant"
"Richard & Barbara Gaby Foundation","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,55000,"","Mercy Children"
"Boston Medical Center Corporation","MA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2015,54519,"","Subaward"
"The Children's Hospital of Philadelphia","PA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2015,54441,"Research","RESEARCH"
"Robert F Beard Charitable Foundat'n C/o James R Clark","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,53750,"General support","Unrestricted grant"
"Michigan Center for Clinical Systems Improvement","MI","Corewell Health","Grand Rapids","MI","Health ",2015,50601,"","Support to implement new model of care"
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,50000,"","Provide support to the organization"
"Ronan Thompson Foundation Inc","AZ","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,50000,"","Medical research"
"Racingawareness-Com","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,38500,"General support","Unrestricted grant to general fund"
"Young Men's Christian Association of Greater Grand Rapids","MI","Corewell Health","Grand Rapids","MI","Religion ",2015,35346,"","CHRONIC DISEASE COORDINATING NETWORKS"
"Hemophilia Foundation of Michigan","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2015,30679,"","MEDICAL SERVICES"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,27500,"General support","Unrestricted Grant to General Fund"
"Will Rogers Motion Picture Pioneers Foundation","CA","Spectrum Health Foundation","Grand Rapids","MI","Hospital care ",2015,26579,"","Neonatal ventilator program"
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,25000,"","General funding 501(C)(3)"
"Jandernoa Foundation C/o Michael Jandernoa","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2015,25000,"","Congenital heart center"
"Steve & Amy Van Andel Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,25000,"","Medical"
"Gillett Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,25000,"General support","General contribution"
"March of Dimes Inc.","VA","Spectrum Health Foundation","Grand Rapids","MI","Education ",2015,25000,"","Pub &amp; Prof Education"
"Seattle Childrens Hospital","WA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2015,24997,"Research","PEDIATRIC MEDICAL RESEARCH GRANT SUBAWARD"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,20000,"General support","General"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,20000,"General support","Unrestricted Grant to General Fund"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,20000,"",""
"American Psychological Association","DC","Spectrum Health Primary Care Partners","Grand Rapids","MI","Graduate and professional education ",2015,20000,"Internships","APA Internship Grant"
"Muscular Dystrophy Association","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,20000,"","Medical Diagnosis"
"June and Cecil McDole Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,17500,"","Medical research"
"John and Judy Spoelhof Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,15000,"General support","General Operations"
"Leslie Tassell Foundation DBA Tassell-Wisner-Bottrall Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,15000,"General support","General operating of recipient"
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,10486,"General support","Unrestricted general"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2015,10000,"","Scientific"
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Children's hospital care ",2015,10000,"Fundraising","Devos Gala"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,10000,"","Scientific"
"Molinello Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,10000,"","Charitable"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,10000,"General support","Operating support"
"Onequest Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,10000,"General support","Unrestricted grant to general fund"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,10000,"General support","Unrestricted Grant to General Fund"
"Health Research and Educational Trust","IL","Corewell Health","Grand Rapids","MI","Community health care ",2015,10000,"","AWARD RECIPIENT"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,9820,"General support","Unrestricted general"
"Wilkinson Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,8000,"General support","No Relationship/general Purpose"
"Brown Tassell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,8000,"","Operating"
"Jacob Best Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,8000,"",""
"The Gornick Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,6000,"",""
"Barnabas Foundation","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,6000,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"General support","General Support"
"Mehney David P & Linda M Foundat C/o Daniel M Mehney","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"General support","Operating fund"
"James and Catherine Rosenthal Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Cardiology ",2015,5000,"","Heart and vascular fund"
"Hy and Greta Berkowitz Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"Continuing support;General support","Annual support"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"General support","General support"
"River City Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"General support","General support"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"","2014 Gift"
"Boyer Family Foundation","MI","Spectrum Health Foundation","Reed City","MI"," ",2015,5000,"","Susan wheatlake cancer center support"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"",""
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,5000,"","Non-profit"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,4820,"Endowments","Endowment"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Patient social services ",2015,4000,"","To organize holiday celebrations for children hospitalized at devos children&#039;s hospital"
"Bank of America Charitable Foundation","NC","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,4000,"","Program/operating support"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,3750,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Out-patient medical care ",2015,3500,"","Spectrum Health Dementia Clinic"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,3000,"","For Neo Natal Care"
"Jandernoa Foundation C/o Michael Jandernoa","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,3000,"Fundraising","Spectrum gala event"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,3000,"",""
"Essendant Charitable Foundation Attn Tax","IL","Spectrum Health Foundation","Grand Rapids","MI","Communicable disease control ",2015,2750,"","Medical - Childhood Disease"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"","Scientific"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"","Contribution"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"","To support the general charitable activities of this organization."
"Millerknoll Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"General support","Support"
"Ufp Industries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"","Scientific"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2500,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2015,2000,"Endowments","For Renucci House Endowment"
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2000,"","Charitable"
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2000,"","Charitable"
"Kent Medical Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2000,"","Partner coalition of orgs that provide prev educ"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2000,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,2000,"",""
"Fidelity Investments Charitable Gift Fund","MA","Newaygo County General Hospital Association Spectrum Health Gerber Memorial","Grand Rapids","MI","Hospital care ",2015,2000,"",""
"The Csig Foundation D/b/a Csig Cares","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,1600,"","Medical research"
"NSF Foundation C/o Sally Jo Trapp","MI","Spectrum Health Foundation","Grand Rapids","MI","Specialty hospital care ",2015,1500,"","Pediatric medical &amp; surgical center"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1500,"",""
"Linda Petro Ulrey and Laurence A Ulrey Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,1420,"","Charitable purposes"
"The Samuel L Westerman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,1250,"","Charitable"
"Enterprise Holdings Foundation","MO","Spectrum Health Foundation","Grand Rapids","MI","Art and music therapy ",2015,1000,"","Gandail&#039;s Gats Finate - AN Event benefiting Spectrum Hospice and Pailistive Care, as well as Music Therapy - December 15 2014"
"The Michael F Mcmanus Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2015,1000,"Student aid","Financial aid"
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"","Charitable"
"Steve & Amy Van Andel Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"","Medical"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"",""
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"",""
"James & Almeda Vander Waals Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"","Donation for operations"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,1000,"General support","General support"
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2015,900,"","Matching gifts payments"
