Grantmaker.Name,Contact,Street.Address.1,Street.Address.2,City,State,ZIP.Code,Country,Telephone,Fax,E.mail,URL,Total.Assets,Total.Giving,Amount.Funded,Grant.Count,RFPs
The Joshua-Jim and Eunice Stone Foundation,,27235 Ovid Ct,NA,Franklin,MI,48025-1036,United States,2484214161,,,,9313030,403500,728000,3,0
Corewell Health,,100 Corewell Dr NW,NA,Grand Rapids,MI,49503-2041,United States,866-989-7999,,,http://WWW.COREWELLHEALTH.ORG,4906691932,4133600,569606,3,0
Cystic Fibrosis Foundation Therapeutics Inc,,4550 Montgomery Ave Ste 1100n,NA,Bethesda,MD,20814-3732,United States,,,,http://WWW.CFF.ORG,N/A,N/A,487027,3,0
The June and Robert Gurwin Family Foundation,,4615 Dow Ridge Rd,NA,Orchard Lake,MI,48324-2326,United States,248-229-7948,,,,10217055,520000,450000,3,0
Cascade Hemophilia Consortium,,2025 Traverwood Dr Ste A,NA,Ann Arbor,MI,48105-2197,United States,734-996-3300,(734) 996-5566,info@cascadehc.org,http://www.casecadehc.org,87266404,5633020,216112,3,0
Charities Aid Foundation of America,"Aislinn Walsh, Administrative Coordinator",225 Reinekers Ln Ste 375,NA,Alexandria,VA,22314-2875,United States,202-793-2232,(703) 549-8934,andrew@cafamerica.org,http://www.cafamerica.org,444916585,884731548,200454,3,0
Variety Club Charity for Children DBA Variety the Children's Charity,,600 S Adams Rd Ste 310,NA,Birmingham,MI,48009-6864,United States,248-258-5511,(313) 257-5575,variety@variety5detroit.com,http://WWW.VARIETY-DETROIT.COM,6731501,477953,183000,3,0
The David and Carol Van Andel Family Foundation,,3133 Orchard Vista Dr SE,NA,Grand Rapids,MI,49546-7033,United States,616-574-2741,,,,109872066,5930238,152575,3,0
St. Baldrick's Foundation,,1333 S Mayflower Ave Ste 400,NA,Monrovia,CA,91016-5268,United States,626-739-2700,626-739-5718,Jennifer.mccabe@stbaldricks.org,http://www.stbaldricks.org,28976619,13695672,150000,3,0
Comerica Charitable Foundation,,36455 Corporate Dr,NA,Farmington Hills,MI,48331-3552,United States,214-462-4443,(313) 222-5555,,https://www.comerica.com/about-us/corporate-responsibility/charitable-giving.html,6067780,3833401,140000,3,0
Seattle Childrens Hospital,,PO Box 5371,NA,Seattle,WA,98145-5005,United States,2069874846,,,http://www.seattlechildrens.org,3605274314,21963717,138077,3,0
Richard & Barbara Gaby Foundation,,3870 Peachtree Industrial Blvd,NA,Berkeley Lake,GA,30096-1422,United States,770-232-9745,,,,93495486,6029084,126000,3,0
The Alcon Foundation Inc,,6201 South Fwy # Tb3-4,NA,Fort Worth,TX,76134-2001,United States,817-551-4818,(817) 615-3811,,https://www.alcon.com/about-us/corporate-responsibility/eye-care-everyone/alcon-giving/alcon-foundation,30000,5036500,1e+05,3,0
Young Men's Christian Association of Greater Grand Rapids,,475 Lake Michigan Dr NW,NA,Grand Rapids,MI,49504-5600,United States,616-855-9600,616-855-9601,slewis@grymca.org,http://www.grymca.org/,110835058,808326,86222,3,0
CHILDRENS ONCOLOGY GROUP FOUNDATION,Children's Oncology Group Foundation,40 W Evergreen Ave Ste 101,NA,Philadelphia,PA,19118-3324,United States,267-277-7064,,info@thecogfoundation.org,https://www.thecogfoundation.org/,22541970,6323480,77450,3,0
Racing for Kids C/o J Patrick Wright,,8120 Lindy Ln,NA,Harbor Springs,MI,49740-9028,United States,313-882-3403,(313) 882-2193,,http://RACINGFORKIDS.ORG,184863,55065,67000,3,0
Ferrantino Charitable Foundation Inc,,585 W Ann Arbor Trl,NA,Plymouth,MI,48170-2499,United States,734-662-0204,,,,2870236,108683,60000,3,0
March of Dimes Inc.,"Anthony Freitas, Director, Digital Marketing Paid Media",1550 Crystal Dr Ste 1300,NA,Arlington,VA,22202-4144,United States,914-428-7100,(914) 997-4560,afreitas@marchofdimes.org,https://www.marchofdimes.org,67854062,9453287,56000,3,0
Molinello Family Foundation,,PO Box 721067,NA,Berkley,MI,48072-0067,United States,248-549-9467,,,,25260660,1230000,50000,3,0
The Seligman Family Foundation,,1 Towne Sq Ste 1913,NA,Southfield,MI,48076-3733,United States,248-862-8000,,,,1815005,450165,46000,3,0
Wolverine World Wide Foundation,,9341 Courtland Dr NE,NA,Rockford,MI,49351-0001,United States,616-866-5500,,wwwfoundation@wwwinc.com,http://www.wolverineworldwide.com/about-us/responsibility,2902590,935333,45000,3,0
Sinai Medical Staff Foundation,,6735 Telegraph Rd,NA,Bloomfield Hills,MI,48301-3141,United States,248-642-4260,,,http://WWW.SINAIDETROITMEDICALFOUNDAT,4851955,230600,39600,3,0
Mickey Shapiro Charitable Trust,,31550 Northwestern Hwy Ste 220,NA,Farmington Hills,MI,48334-2532,United States,248-851-2700,,,,1042032,514000,33350,3,0
Cooper Foundation,,529 Newburne Pointe,NA,Bloomfield Hills,MI,48304-1411,United States,(248) 644-8450,,,,N/A,10716,31150,3,0
Gerson Family Foundation,,305 W Big Beaver Rd Ste 200,NA,Troy,MI,48084-5223,United States,248-244-3060,,,,1743265,261100,30000,3,0
Richard B Messer FBO Pennock Hospital,,PO Box 630858,NA,Cincinnati,OH,45263-0858,United States,513-534-5310,,,,2175752,100000,30000,3,0
Others First Inc,,1700 W Hamlin Rd Ste 200,NA,Rochester Hills,MI,48309-3340,United States,248-218-5310,,charityfunding@gmail.com,http://WWW.OTHERSFIRST.ORG,3140623,1105610,26000,3,0
The Pearson Family Foundation,,2025 W Long Lake Rd Ste 100,NA,Troy,MI,48098-4100,United States,248-641-0700,,,,332206,21000,25000,3,0
American Online Giving Foundation Inc,,40 E Main St Ste 887,NA,Newark,DE,19711-4639,United States,800-828-5415,,,http://www.onlinegivingfoundation.org/,376372692,1953619162,24436,3,0
Robert Nelson Foundation,,PO Box 761398,NA,Los Angeles,CA,90076-1398,United States,213-386-7777,,,http://www.robertnelsonfoundation.org,16009932,379995,20000,3,0
Evan's Victory Against Neuroblastoma Foundation Inc,,19308 Penrod Ter,NA,Germantown,MD,20874-6195,United States,301-980-0866,,wendy@theevanfoundation.org,https://WWW.THEEVANFOUNDATION.ORG,492719,180439,17250,3,0
Jerry & Marcia Tubergen Foundation,,7505 River St SE Ste 200,NA,Ada,MI,49301-8547,United States,616-454-4114,,,,11632757,4220750,16000,3,0
Ufp Industries Foundation,,2801 E Beltline Ave NE,NA,Grand Rapids,MI,49525-9680,United States,616-364-6161,,,,21185481,1034750,15150,3,0
Larry and Karen Mulder Foundation,,PO Box 451,NA,Zeeland,MI,49464-0451,United States,616-262-2938,,,,715334,437100,15000,3,0
Dte Energy Foundation,,1 Energy Plz,NA,Detroit,MI,48226-1221,United States,313-235-4000,,foundation@dteenergy.com,http://WWW.DTEFOUNDATION.COM,120093193,18039839,12000,3,0
Plym Foundation,,202 S Michigan St Ste 910,NA,South Bend,IN,46601-2031,United States,574-287-5977,,,,6854589,106500,12000,3,0
Boyer Family Foundation,,7147 Driftwood Dr SE,NA,Ada,MI,49301-7890,United States,,,,,N/A,17000,10000,3,0
The Scott and Barbara Greene Foundation,,675 Manhattan Rd SE,NA,East Grand Rapids,MI,49506-2024,United States,,,,,N/A,N/A,7500,3,0
Cunnington Family Foundation,,36700 Woodward Ave Ste 101,NA,Bloomfield Hills,MI,48304-0929,United States,248-594-6622,,,,37949,192000,6500,3,0
Henry E & Consuelo S Wenger Foundation Inc,,8916 Gale Rd,NA,White Lake,MI,48386-1409,United States,248-666-9300,,,,23238806,1097180,6400,3,0
Walmart Foundation,,702 SW 8th St Dept 9740,NA,Bentonville,AR,72716-0150,United States,800-530-9925,(479) 273-6850,,https://walmart.org/,30282854,131620851,5750,3,0
Michael F McManus Foundation,,535 N Williamsbury Rd,NA,Bloomfield Hills,MI,48301-2517,United States,3134809361,,,,6184037,827868,4500,3,0
Mervyn H & Leslie D Sternberg Foundation,,6766 Casa Grande Way,NA,Delray Beach,FL,33446-2347,United States,248-302-3838,,,,300577,14629,3000,3,0
Sandy Family Foundation Inc,,535 Sanctuary Dr,NA,Longboat Key,FL,34228-3852,United States,941-383-6837,,,,383364,37350,3000,3,0
Dryden Family Foundation,,2560 Dease Lake Rd,NA,Hale,MI,48739-8812,United States,989-257-5453,,,http://WWW.DRYDENFAMILYFOUNDATION.ORG,4057511,152950,2500,3,0
Sherwood Family Foundation,,8171 Bay Colony Dr Apt 1704,NA,Naples,FL,34108-7566,United States,2392540823,,,,567702,37075,2380,3,0
Patrick and Christie Scoggin Family Foundation,,458 Chalfonte Ave,NA,Grosse Pointe Farms,MI,48236-2918,United States,313-640-9631,,,,2195538,135266,2000,3,0
The Lisa and Brian Meer Foundation,,Co Brian Meer 3020 Middlebelt Roa,NA,WEST BLOOMFIELD,MI,48323-1932,United States,248-683-0001,,,,8085323,339766,1350,3,0
The Eppert Family Foundation,,31490 E Bell Vine Trl,NA,Beverly Hills,MI,48025-3703,United States,248-320-8473,,,,32276,80576,1300,3,0
United States Department of Health and Human Services,,200 Independence Ave. S.W.,NA,"Washington, D.C.",DC,20201-0004,United States,(877) 696-6775,,,http://www.hhs.gov/,N/A,12100000,2341117,2,0
Devos Family Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,,,http://DEVOSFAMILYFOUNDATION.ORG,4825,3437000,2e+06,2,0
William Davidson Foundation,,PO Box 1688,NA,Birmingham,MI,48012-1688,United States,248-788-6500,,grants@williamdavidson.org,http://WWW.WILLIAMDAVIDSON.ORG,1480745151,60000409,1010000,2,0
UNITED WAY FOR SOUTHEASTERN MICHIGAN,,3011 W Grand Blvd Ste 500,NA,Detroit,MI,48202-3012,United States,313-226-9200,,Community.impact@liveunitedsem.org,http://unitedwaysem.org,67179415,N/A,717510,2,0
The Qazi Foundation C/o Ciena Healthcare Management Inc,,4000 Town Ctr Ste 2000,NA,Southfield,MI,48075-1415,United States,248-386-0300,,,,2639,543195,6e+05,2,0
The Fred a & Barbara M Erb Family Foundation,"Jodee Raines, Vice President Of Programs",34100 Woodward Ave Ste 310,NA,Birmingham,MI,48009-0962,United States,248-498-2503,(248) 644-1517,jraines@erbff.org,http://WWW.ERBFF.ORG,363118936,17696127,503000,2,0
Celani Charitable Foundation Inc,,42875 Grand River Ave Ste 201,NA,Novi,MI,48375-1782,United States,248-465-1550,,,,1726523,N/A,450000,2,0
James and Shirley Balk Foundation,,1230 Monroe Ave NW,NA,Grand Rapids,MI,49505-4620,United States,616-458-1414,,,,5170126,143539,361058,2,0
Because of Ezra Inc,"Derek Pupello, Treasurer; Kyle Matthews, President; Kyle Matthews, Executive Director; Marissa Devins, Secreatary",13014 N Dale Mabry Hwy,NA,Tampa,FL,33618-2808,United States,,,,HTTP://BECAUSEOFEZRA.ORG/,N/A,12943,263743,2,0
Minneapolis Foundation,,800 Ids Center,NA,Minneapolis,MN,55402,United States,612-672-3878,612-672-3846,info@mplsfoundation.org,http://www.minneapolisfoundation.org,1134066155,113983030,2e+05,2,0
Ethel and James Flinn Foundation,,333 W Fort St Ste 1950,NA,Detroit,MI,48226-3167,United States,313-309-3436,(313) 309-3441,acole@flinnfoundation.org,http://WWW.FLINNFOUNDATION.ORG,68852567,2855200,175000,2,0
Deroy Testamentary Foundation,"Julie Rodecker, President",2699 Centralparl Bwd Suiteigo,NA,SOUTHFIELD,MI,48076-0000,United States,248-827-0920,,deroyfdtn@aol.com,http://DEROYFOUNDATION.ORG,40440202,2359576,150000,2,0
Team Lafontaine U Can-Cer Vive,,4000 W Highland Rd,NA,Highland,MI,48357-4007,United States,8778295500,,,http://ucancervive.com,217953,294930,150000,2,0
Spencer M Partrich Charitable Foundation,,31550 Northwestern Hwy Ste 200,NA,Farmington Hills,MI,48334-2532,United States,248-851-2700,,,,21659,10000,120100,2,0
Children's Hospital of Michigan Foundation,"Douglas Ferrick, Chief Development Officer; Jill Nelson, Director Of Marketing & Communications",3011 W Grand Blvd Ste 218,NA,Detroit,MI,48202-3042,United States,313-964-6994,,jnelson@yourchildrensfoundation.org,http://WWW.YOURCHILDRENSFOUNDATION.ORG,140838602,6009841,107740,2,0
Karp Family Foundation,,4455 S Bay Dr,NA,Orchard Lake,MI,48323-1504,United States,313-659-7315,,,,18499272,804133,105000,2,0
William G Currie Foundation,,2645 Meadow Crossing Dr SE,NA,Ada,MI,49301-8525,United States,616-318-9062,,,,474344,1122500,105000,2,0
Michigan Center for Clinical Systems Improvement,,233 Fulton St E Ste 20,NA,Grand Rapids,MI,49503-3261,United States,616-551-0795,,,http://WWW.MICCSI.ORG,3641006,50000,101202,2,0
The Kasle Foundation,,555 Stanley Blvd,NA,Birmingham,MI,48009-1401,United States,248-723-9442,,,,56968,N/A,1e+05,2,0
Tua Artichoke Garlic Fdtn,,PO Box 3636,NA,Grand Rapids,MI,49501-3636,United States,8004000439,,,,8589748,966896,1e+05,2,0
Child's Play,"Kirsten Carlile, Director, Philanthropy & Partner Experiences; Travis Eriksen, Executive Director",2446 6th Ave S,NA,Seattle,WA,98134,United States,425-403-5558,,childsplaycharity@childsplaycharity.org,http://WWW.CHILDSPLAYCHARITY.ORG,15114514,2343143,81600,2,0
Lorene and Ben Maibach Foundation,,26500 American Dr,NA,Southfield,MI,48034-2252,United States,248-436-5054,,,,2708312,692500,80000,2,0
Mann Family Foundation,,301 Promenade St,NA,Providence,RI,02908-5720,United States,4013453349,,,,9247710,733190,66281,2,0
Donald and Norma Golden Fam Foundation C/o Bruce Kahn Esq,,27777 Franklin Rd Ste 2500,NA,Southfield,MI,48034-8222,United States,248-351-3000,,,,1178819,25000,50000,2,0
Mcpc Family Charities,,21500 Aerospace Pkwy,NA,Cleveland,OH,44142-1071,United States,440-268-3083,,,http://WWW.MCPCFC.ORG,32,1150,50000,2,0
PUBLIC HEALTH INSTITUTE,,555 12th St Ste 600,NA,Oakland,CA,94607-4067,United States,510-285-5500,510-285-5501,mmatthews@phi.org,http://www.phi.org,129042887,55728903,48740,2,0
THE GREENVILLE AREA COMMUNITY FOUNDATION,"Alison Barberi, President & Ceo",225 N Lafayette St,NA,Greenville,MI,48838-1855,United States,616-754-2640,,alison@gacfmi.org,http://www.gacfmi.org,50889365,1479737,46570,2,0
Flagstar Foundation Inc,,5151 Corporate Dr,NA,Troy,MI,48098-2639,United States,248-312-5111,,,http://WWW.FLAGSTAR.COM,18995161,3377000,40000,2,0
Car Donation Foundation,"Loren Dorshow, Executive Director",5775 Wayzata Blvd Ste 765,NA,Minneapolis,MN,55416-1222,United States,952-525-2238,,loren.dorshow@wheelsforwishes.org,http://WWW.WHEELSFORWISHES.ORG,11683472,13209428,36818,2,0
Ann and Mike Rosenthal Family Foundation,,360 Cranbrook Rd,NA,Bloomfield Hills,MI,48304-3408,United States,,,,,N/A,55000,35000,2,0
Kirk Gibson Foundation,,16845 Kercheval Ave Ste 5,NA,Grosse Pointe Park,MI,48230-1551,United States,3133310330,,,http://www.kirkgibsonfoundation.org,316460,1035560,35000,2,0
University of Pittsburgh,,116 Atwood St Ste 201,NA,Pittsburgh,PA,15213-3402,United States,412-624-3189,412-624-3911,,http://WWW.PITT.EDU,9680542422,429008070,32300,2,0
Nowak Family Foundation,,4213 Crayton Rd,NA,Naples,FL,34103-8524,United States,616-846-6756,,,,1773651,148300,31700,2,0
Mary Free Bed Rehabilitation Hospital,,235 Wealthy St SE,NA,Grand Rapids,MI,49503-5247,United States,800-528-8989,,,http://WWW.MARYFREEBED.COM,243526684,100428,30000,2,0
VERA AND JOSEPH DRESNER FOUNDATION,,7066 McGraw St,NA,Detroit,MI,48210-1937,United States,313-285-8618,,kevinf@dresnerfoundation.org,http://WWW.DRESNERFOUNDATION.ORG,148343603,3516014,25000,2,0
Nespola Charitable Foundation,,1 Righter Pkwy Ste 120,NA,Wilmington,DE,19803-1533,United States,302-573-5973,,,,2663486,90995,24000,2,0
The Skillman Foundation,,100 Talon Centre Dr Ste 100,NA,Detroit,MI,48207-4266,United States,313-393-1185,(313) 393-1187,nfotias@skillman.org,HTTP://WWW.SKILLMAN.ORG,568394512,23772505,21700,2,0
Delta Dental Plan of Michigan Inc,,4100 Okemos Rd,NA,Okemos,MI,48864-3215,United States,517-349-6000,,,http://WWW.DELTADENTALMI.COM,918626400,3895292,20000,2,0
Tawila Family Foundation,,64 Hidden Rdg,NA,Bloomfield Hills,MI,48304-2907,United States,248-770-8277,,,,53890,132596,17500,2,0
The Shine Foundation,,PO Box 451,NA,Zeeland,MI,49464-0451,United States,616-262-2938,,,,6892294,1732160,15500,2,0
Charles W Loosemore Foundation,,646 100th St SE,NA,Byron Center,MI,49315-8770,United States,239-513-1421,,,,5833231,390000,15100,2,0
Great Lakes Timber Professionals Association Inc,,3243 Golf Course Rd,NA,Rhinelander,WI,54501-8176,United States,715-282-5828,,,http://WWW.TIMBERPA.COM,901610,35508,11686,2,0
Hastings Mutual Insurance Company Charitable Foundation,,404 E Woodlawn Ave,NA,Hastings,MI,49058-1005,United States,800-442-8277,,,,4024054,159449,11000,2,0
Triford Foundation,,42609 Jason Ct,NA,Sterling Heights,MI,48313-2632,United States,906-370-0208,,,,6575304,330000,11000,2,0
Malcolm and Beth Lowenstein Foundation,,33 Bloomfield Hills Pkwy Ste 120,NA,Bloomfield Hills,MI,48304-2945,United States,248-203-2000,,,,2534610,110610,10350,2,0
Delta Air Lines Foundation,,1020 Delta Blvd Dept 983,NA,Atlanta,GA,30354-1989,United States,404-715-2600,,foundation.delta@delta.com,,32576521,18770715,10000,2,0
Mary Free Bed Guild Fund,,235 Wealthy St SE,NA,Grand Rapids,MI,49503-5247,United States,800-528-8989,,Info@MaryFreeBed.com,,41951161,1342352,10000,2,0
The Chase and Luke Foundation,,1157 Lake Park Dr,NA,Birmingham,MI,48009-1001,United States,248-854-5340,,,,212488,9877,9500,2,0
The D Dan and Betty Kahn Foundation,,2301 W Big Beaver Rd Ste 750,NA,Troy,MI,48084-3329,United States,248-781-0200,,,,117733088,13700083,8750,2,0
The Gornick Fund,,PO Box 85,NA,Gaylord,MI,49734-0085,United States,989-732-0775,,,,1562967,66850,8000,2,0
Feyen Zylstra Community Foundation,,2396 Hillside Dr NW,NA,Grand Rapids,MI,49544-1926,United States,616-224-7190,,,http://WWW.GUIDESTAR.ORG,7935,N/A,7000,2,0
Great Lakes Castings Corporation Foundation,,800 N Washington Ave,NA,Ludington,MI,49431-2724,United States,2318432501,,,,1059106,42349,6500,2,0
Lawrence a Sanders Foundation Inc J Daniel Brede Managing Director,,4781 NW 27th Ave,NA,Boca Raton,FL,33434-5832,United States,561-241-8996,,,,21119874,923500,5500,2,0
Littler Mendelson Foundation Inc Attn Tax Manager,,2301 McGee St Ste 800,NA,Kansas City,MO,64108-2662,United States,816-772-0600,,,http://WWW.LITTLER.COM,407675,333969,5250,2,0
Investment Professionals for Charity Inc,,40701 Woodward Ave Ste 101,NA,Bloomfield Hills,MI,48304-5078,United States,2484571200,,,http://ipcharity.org,313875,112600,5000,2,0
Commerce Bancshares Foundation,,922 Walnut St,NA,Kansas City,MO,64106-1802,United States,816-234-2577,,,,35106042,1909453,4500,2,0
Land O L Foundation,"Lydia Botham, Executive Director",PO Box 64150,NA,St Paul,MN,55164-0150,United States,651-375-2222,,landolakesfoundation@landolakes.com,http://www.foundation.landolakes.com,2114049,5696508,4150,2,0
Trugreen Foundation,,1790 Kirby Pkwy Ste 300,NA,Memphis,TN,38138-7411,United States,901-251-3939,,,,3831,200,4000,2,0
Marion and Robert Wyatt Foundation Co Dawda Mann Mulcahy & Sadler Plc,,39533 Woodward Ave Ste 200,NA,Bloomfield Hills,MI,48304-5103,United States,,,,,N/A,1030000,3550,2,0
NSF Foundation C/o Sally Jo Trapp,,7400 Whispering Ridge St SE,NA,Grand Rapids,MI,49546-9144,United States,248-649-7516,,,,1288254,54200,3000,2,0
The Minkin Family Foundation,,3001 W Big Beaver Rd Ste 700,NA,Troy,MI,48084-3108,United States,2486493400,,,,2886786,136448,2500,2,0
Mr & Mrs Wayne B Lyon Foundation,,PO Box 176,NA,Terra Ceia,FL,34250-0176,United States,239-213-8188,,,,2014952,90000,2500,2,0
Kent Medical Foundation,,233 Fulton St E Ste 224,NA,Grand Rapids,MI,49503-3261,United States,616-458-4157,,,http://www.kmf.org,367804,N/A,2250,2,0
De Witt Families Conduit Foundation,,280 N River Ave Ste B,NA,Holland,MI,49424-2193,United States,616-393-8160,,,,18503,710708,2000,2,0
Herman and Sharon Frankel Foundation,,535 Sanctuary Dr Apt C808,NA,Longboat Key,FL,34228-4809,United States,9413870501,,,,377454,157582,2000,2,0
Haggarty Foundation,,20630 Harper Ave Ste,NA,Harper Woods,MI,48225-1448,United States,312-886-3490,,,,3247,22180,2000,2,0
Louis F and Florence H Weyand 1977,,PO Box 634,NA,Milwaukee,WI,53201-0634,United States,612-303-3205,,,,4753562,214000,2000,2,0
Sayed Foundation,,1400 Inwoods Cir,NA,Bloomfield Hills,MI,48302-1307,United States,,,,,N/A,133000,2000,2,0
Douglas and Margo Yellin Woll Family Foundation,,3311 Woodview Lake Rd,NA,West Bloomfield,MI,48323-3573,United States,2486260459,,,,3147364,204800,2000,2,0
Carmax Foundation,,12800 Tuckahoe Creek Pkwy,NA,Richmond,VA,23238-1115,United States,804-747-0422,(804) 935-4516,kmxfoundation@carmax.com,http://FOUNDATION.CARMAX.COM,6642085,6678283,1480,2,0
Sacred Family Causes Foundation,,110 Merriweather Rd,NA,Grosse Pointe Farms,MI,48236-3623,United States,313-882-8266,,,,519910,23325,850,2,0
Merle & Sheri Dewitt Foundation,,PO Box 2007,NA,Holland,MI,49422-2007,United States,616-915-1998,,,,3637870,210080,800,2,0
Management Partners Foundation,,7210 E State St Ste 102,NA,Rockford,IL,61108-2636,United States,800-642-9940,,,https://www.furstgroup.com/furst-group-foundation,N/A,8033,500,2,0
Rajendra and Pratibha Modi Family Foundation,,32215 Rosewood Meadow Ln,NA,Wesley Chapel,FL,33543-4150,United States,248-626-6343,,,,220366,13744,500,2,0
Boston Foundation Inc,"Pamela Hurd, Senior Director Of Leadership Giving",75 Arlington St,NA,Boston,MA,02116-3936,United States,617-338-1700,(617) 338-1604,info@tbf.org,http://www.tbf.org,1708597273,174634511,300,2,0
Rogers Family Foundation Corporation,,23179 Telegraph Rd,NA,Southfield,MI,48033-4126,United States,248-353-4800,,,,4701445,265130,130,2,0
The David and Sheryl Livingston Family Foundation,,7100 Gladys Dr SE,NA,Grand Rapids,MI,49546-9738,United States,,,,,N/A,3035,100,2,0
American Express Foundation,,200 Vesey Street 48th Fl,NA,New York City,NY,10285-0001,United States,859-576-2845,,communitygiving@aexp.com,https://www.americanexpress.com/en-us/company/corporate-sustainability/community-impact/apply-grant/,71012960,25711713,92,2,0
"Second Harvest Gleaners Food Bank of West Michigan, Inc.",,864 W River Center Dr NE,NA,Comstock Park,MI,49321-8955,United States,6167843250,(616) 784-3255,kene@feedingamericawestmichigan.org,http://www.feedwm.org,9482347,41717995,NA,2,0
William Beaumont Hospital,,26901 Beaumont Blvd,NA,Southfield,MI,48033-3849,United States,616-391-2022,,ppratt@beaumont.edu,http://WWW.BEAUMONT.ORG,4475418710,30900890,43190044,1,0
The Van Andel Fund Inc,,3133 Orchard Vista Dr SE,NA,Grand Rapids,MI,49546-7033,United States,616-574-2741,,mark.bugge@vaegr.com,,1972,N/A,2e+06,1,0
Applebaum Family Support Foundation,,6735 Telegraph Rd,NA,Bloomfield Hills,MI,48301-3141,United States,248-642-4260,,,,1771713,975000,1650000,1,0
United States Health Resources & Services Administration,,5600 Fishers Ln,NA,Rockville,MD,20857-0002,United States,,,,http://www.hrsa.gov/index.html,N/A,1900000,1122899,1,0
The Vattikuti Foundation,,1000 Town Ctr Ste 700,NA,Southfield,MI,48075-1220,United States,248-281-2513,,,,42456918,1230556,1e+06,1,0
Beat NB Cancer Foundation,,PO Box 850804,NA,Braintree,MA,02185-0804,United States,7815199787,,,http://www.beatnb.org,72718,800000,8e+05,1,0
United States National Institutes of Health,,9000 Rockville Pike,NA,Bethesda,MD,20892-0001,United States,(301) 496-4000,,,https://www.nih.gov/,N/A,12931273222,625084,1,0
Ted and Jane Von Voigtlander Foundation,"Steven Bearden, Vice President",3300 County Farm Rd,NA,Howell,MI,48843-8936,United States,517-518-1685,,info@tjvv.org,https://tjvv.org,24576760,3461000,5e+05,1,0
Foundation for the Realization of Human Potential NFP,,1658 N Milwaukee Ave PMB 314,NA,Chicago,IL,60647-6905,United States,312-645-8300,,,http://www.wrightfoundation.org/,4827315,400000,4e+05,1,0
Ted Lindsay Foundation,,4062 Livernois Rd,NA,Troy,MI,48098,United States,248-619-1733,,sweetlew001@gmail.com,http://TEDLINDSAY.ORG,71540,192760,275000,1,0
The Hough Foundation,,32907 Bingham Ln,NA,Bingham Farms,MI,48025-2419,United States,248-737-4200,,,,15835284,1244000,260000,1,0
The Ann and Bob Aikens Family Foundation,,350 N Old Woodward Ave Ste 300,NA,Birmingham,MI,48009-5390,United States,248-283-2392,,,,8331,N/A,257250,1,0
"Max M. and Marjorie S. Fisher Foundation, Inc.",Jennifer  Fahnestock,2 Towne Sq Ste,NA,Southfield,MI,48076-3726,United States,248-4151444,(248) 415-1453,jenn@mmfisher.org,http://www.mmfisher.org,280244201,19512853,255000,1,0
United States Rural Utilities Service,,1400 Independence Ave. SW Stop 1510 Rm. 5135,NA,"Washington, D.C.",DC,20250-1510,United States,(202) 720-9540,(202) 720-1725,,http://www.rd.usda.gov/about-rd/agencies/rural-utilities-service,N/A,26031399,254884,1,0
Crn Foundation,,PO Box 959,NA,East Dennis,MA,02641-0959,United States,,,,,N/A,N/A,250000,1,0
The Douglas F Allison Foundation,,3707 W Maple Rd Ste 210,NA,Bloomfield Hills,MI,48301-3204,United States,734-354-9720,,,,33077742,1450000,250000,1,0
The Aspen Institute Inc,,2300 N Street NW 700,NA,WASHINGTON,DC,20037,United States,202-736-5800,(202) 467-0790,jim.spiegelman@aspeninst.org,http://WWW.ASPENINSTITUTE.ORG,519114037,34469867,225000,1,0
Emil and Stella Banich Foundation,,585 W Ann Arbor Trl,NA,Plymouth,MI,48170-2499,United States,7346620204,,,,568413,433333,2e+05,1,0
The Stone Foundation of Michigan,,27235 Ovid Ct,NA,Franklin,MI,48025-1036,United States,248-421-4161,,,,12927539,533000,180000,1,0
The Pew Charitable Trusts,,One Commerce Square Suite 2800,NA,Philadelphia,PA,19103,United States,215-575-9050,215-575-4939,media@pewtrusts.org,https://www.pew.org,1350161416,167526160,150000,1,0
Celani Family Foundation Inc,,42875 Grand River Ave Ste 201,NA,Novi,MI,48375-1782,United States,248-465-1550,,,,1186235,817450,143000,1,0
Roncelli Family Foundation,,6471 Metropolitan Pkwy,NA,Sterling Heights,MI,48312-1027,United States,586-264-2060,,,,176329,229188,143000,1,0
Caldwell Fisher Family Foundation,,2882 Sand Hill Rd Ste 150,NA,Menlo Park,CA,94025-7057,United States,650-233-9000,,,,24020753,3745000,1e+05,1,0
For Kids' Sake Foundation Inc,,550 Kelley Blvd,NA,North Attleboro,MA,02760-4103,United States,508-376-8811,,Forkidssakefoundation@gmail.com,http://WWW.FORKIDSSAKEFOUNDATION.ORG,813185,170383,1e+05,1,0
Masco Corporation Charitable Trust,,PO Box 75000,NA,Detroit,MI,48275-7874,United States,313-222-3018,(313) 792-6262,,http://masco.com/corporate-responsibility/masco-foundation,N/A,3671822,1e+05,1,0
The Meryl & Charles Witmer Charitable Foundation,,280 Madison Ave Rm 1007,NA,New York City,NY,10016-0820,United States,212-812-3089,,,,5098309,1001070,1e+05,1,0
Jacob G. Schmidlapp Trust No. 1 and No. 2,"Heidi B.  Jark, Mgr., Charitable And Planned Giving Svcs.",38 Fountain Sq. Plz. 1090ca,NA,Cincinnati,OH,45263-0001,United States,(513) 534-4397,,,,61037099,1760000,1e+05,1,0
